fdate,cusip,fundno,shares
20110331,94974610,12,750000
20110331,96216610,12,1000000
20110331,G1625210,12,1249999
20110331,H2717810,12,226030
20110331,M2246510,12,225005
20110630,00194010,12,704500
20110630,00206R10,12,790630
20110630,00766T10,12,188980
20110630,01390430,12,882900
20110630,01626P40,12,453900
20110630,02209S10,12,892540
20110630,02313510,12,111010
20110630,03073E10,12,315120
20110630,04206810,12,351200
20110630,05493710,12,745100
20110630,06367110,12,240325
20110630,06414910,12,455900
20110630,06790110,12,216800
20110630,07317Q10,12,278000
20110630,08467070,12,125710
20110630,13637510,12,542700
20110630,14042M10,12,193800
20110630,17245410,12,403333
20110630,23331A10,12,447230
20110630,23918K10,12,86210
20110630,24353710,12,28420
20110630,26864810,12,178780
20110630,26938810,12,3822000
20110630,27864210,12,633280
20110630,29445L20,12,357500
20110630,34990710,12,1561800
20110630,35185810,12,737000
20110630,36955010,12,142710
20110630,38095640,12,201200
20110630,39945C10,12,503500
20110630,40621610,12,102780
20110630,43707610,12,138250
20110630,45567S10,12,62100
20110630,45715310,12,598630
20110630,48666K10,12,269400
20110630,49327110,12,115200
20110630,50104410,12,589330
20110630,53578A10,12,55980
20110630,53948110,12,464800
20110630,56090910,12,396400
20110630,58155Q10,12,230690
20110630,59001A10,12,215410
20110630,59162N10,12,301900
20110630,65548P40,12,388450
20110630,72303310,12,2266700
20110630,74326Y10,12,375200
20110630,74586710,12,682930
20110630,75511150,12,200000
20110630,77829610,12,60400
20110630,78651420,12,589330
20110630,79546E10,12,313130
20110630,80685710,12,119400
20110630,82481R10,12,109400
20110630,82509W10,12,1324100
20110630,83421A10,12,172020
20110630,85891210,12,56760
20110630,86722410,12,247372
20110630,86791410,12,722310
20110630,87236Y10,12,476790
20110630,87377N20,12,650000
20110630,87974D10,12,157000
20110630,88706M10,12,537100
20110630,89989610,12,79660
20110630,91911K10,12,830500
20110630,92276F10,12,180290
20110630,G1625210,12,1255999
20110630,H2717810,12,156080
20110630,M2246510,12,197505
20110930,00194010,12,704500
20110930,00289620,12,33160
20110930,00846U10,12,267430
20110930,01626P40,12,453900
20110930,02209S10,12,298610
20110930,02313510,12,140710
20110930,03073E10,12,218390
20110930,03783310,12,80810
20110930,05534B76,12,254200
20110930,06790110,12,558500
20110930,07317Q10,12,421400
20110930,09775120,12,1626300
20110930,12589610,12,398500
20110930,13637510,12,209800
20110930,14042M10,12,193800
20110930,15118Q10,12,650300
20110930,17245410,12,572933
20110930,17275R10,12,613310
20110930,23331A10,12,447230
20110930,25066910,12,472000
20110930,26938810,12,5638000
20110930,27864210,12,782390
20110930,30219E10,12,257047
20110930,36112J10,12,264590
20110930,39945C10,12,700000
20110930,43739Q10,12,171480
20110930,45567S10,12,216900
20110930,45666Q10,12,111990
20110930,45823T10,12,50300
20110930,48666K10,12,269400
20110930,53578A10,12,95710
20110930,53948110,12,699600
20110930,56501R10,12,664400
